Round,WT,WT1Q,WT2Q,WT3Q,WT4Q,WTotal,WMargin,LT,LT1Q,LT2Q,LT3Q,LT4Q,LTotal,LMargin
1,Vixens,17,16,14,12,59,1,Magpies,18,9,18,13,58,-1
1,Fever,22,17,20,15,74,18,Thunderbirds,14,13,15,14,56,-18
1,Giants,15,12,15,12,54,3,Lightning,12,13,13,13,51,-3
1,Swifts,12,11,14,17,54,1,Firebirds,15,14,13,11,53,-1
2,Giants,18,15,23,15,71,23,Thunderbirds,10,6,18,14,48,-23
2,Fever,15,19,17,17,68,11,Magpies,14,12,19,12,57,-11
2,Firebirds,11,20,8,16,55,3,Lightning,15,9,13,15,52,-3
2,Vixens,17,14,17,15,63,2,Swifts,12,20,15,14,61,-2
3,Firebirds,14,15,14,16,59,3,Vixens,17,14,13,11,55,-3
3,Fever,14,15,14,13,56,1,Lightning,15,14,15,11,55,-1
3,Magpies,17,15,18,20,70,20,Thunderbirds,13,14,8,15,50,-20
3,Swifts,14,12,16,13,55,1,Giants,14,15,15,10,54,-1
4,Giants,12,16,13,12,53,2,Firebirds,15,11,13,12,51,-2
4,Vixens,17,19,17,19,72,22,Thunderbirds,10,12,12,16,50,-22
4,Lightning,11,15,17,9,52,2,Magpies,10,13,12,15,50,-2
4,Fever,16,19,14,14,63,9,Swifts,11,14,12,17,54,-2
5,Firebirds,17,18,16,20,71,10,Fever,16,14,17,14,61,-10
5,Swifts,13,19,19,13,64,10,Magpies,17,10,13,14,54,-10
5,Lightning,13,16,16,15,60,9,Thunderbirds,11,15,13,12,51,-9
5,Giants,14,17,14,13,58,7,Vixens,15,12,12,12,51,-7
6,Lightning,15,15,18,16,64,8,Vixens,17,13,13,13,56,-8
6,Fever,18,15,14,16,63,2,Giants,15,15,17,14,61,-2
6,Swifts,15,16,9,11,51,2,Thunderbirds,14,11,12,12,49,-2
6,Magpies,17,18,15,17,67,5,Firebirds,16,15,19,12,62,-5
7,Vixens,17,26,14,17,74,14,Fever,14,13,18,15,60,-14
7,Firebirds,15,16,17,18,66,24,Thunderbirds,12,11,10,9,42,-24
7,Giants,14,16,18,15,63,3,Magpies,16,12,14,18,60,-3
7,Swifts,19,12,14,14,59,3,Lightning,9,18,16,13,56,-3
8,Fever,20,14,25,17,76,20,Thunderbirds,15,9,15,17,56,-20
8,Vixens,15,13,19,18,65,8,Magpies,17,16,12,12,57,-8
8,Firebirds,16,13,15,16,60,3,Swifts,14,12,14,17,57,-3
9,Vixens,20,17,15,13,65,7,Swifts,16,13,15,14,58,-7
9,Fever,16,16,21,17,70,13,Magpies,11,14,15,17,57,-13
9,Lightning,14,13,16,15,58,1,Firebirds,15,14,13,15,57,-1
9,Giants,13,18,17,15,63,19,Thunderbirds,11,9,14,10,44,-19
10,Vixens,16,16,12,14,58,1,Firebirds,16,14,13,14,57,-1
10,Fever,14,16,17,12,59,1,Lightning,18,14,13,13,58,-1
10,Magpies,12,12,15,19,58,10,Thunderbirds,13,13,14,8,48,-10
10,Giants,19,17,14,16,66,10,Swifts,13,18,13,12,56,-10
11,Lightning,17,18,12,11,58,2,Magpies,15,14,14,13,56,-2
11,Fever,17,17,20,20,74,6,Swifts,20,18,13,17,68,-6
11,Firebirds,17,13,18,16,64,14,Giants,13,9,10,18,50,-14
11,Vixens,21,19,17,16,73,25,Thunderbirds,9,14,12,13,48,-25
12,Firebirds,13,15,15,17,60,6,Fever,16,15,10,13,54,-6
12,Lightning,20,20,18,17,75,31,Thunderbirds,11,9,12,12,44,-31
12,Giants,17,16,12,15,60,2,Vixens,15,12,17,14,58,-2
